0,0,0,0,180000,1800.000000,-0.080000,-0.080000,-0.080000
z,RHO,U,V,W,UU,VV,WW,UV,UW,VW,UUU,VVV,WWW,UUW,VVW,T,TT,UT,VT,WT,TTT
4.000000,1.000004,0.325963,-0.001849,0.000157,0.214850,0.035192,0.003988,-0.003034,-0.001205,-0.000035,0.142370,0.000279,-0.000093,-0.001149,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1.000003,0.393243,0.002397,-0.000139,0.271199,0.027470,0.013475,0.000041,-0.005208,-0.000169,0.196789,0.000748,-0.000509,-0.005066,-0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1.000003,0.454653,0.006491,0.000127,0.325358,0.025511,0.019570,0.002676,-0.008403,-0.000225,0.255885,0.000911,-0.000634,-0.008721,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,1.000003,0.544600,0.010683,-0.000034,0.407533,0.024261,0.021816,0.005942,-0.012474,-0.000271,0.342440,0.001012,0.000189,-0.014594,0.000150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,1.000001,0.664950,0.013295,0.000021,0.534815,0.026198,0.019983,0.009338,-0.014272,-0.000209,0.476009,0.000968,0.001036,-0.020079,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,1.000001,0.884159,0.019230,0.000000,0.860858,0.034420,0.020368,0.017070,-0.016430,-0.000169,0.898341,0.001777,0.000883,-0.028455,0.000189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,1.000001,0.984519,0.020550,0.000061,1.034515,0.035056,0.020495,0.021261,-0.015119,-0.000179,1.143664,0.002191,0.000605,-0.028546,0.000428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,1.000001,1.072349,0.019131,-0.000030,1.209639,0.032894,0.020220,0.021562,-0.015186,-0.000151,1.421926,0.001891,0.000541,-0.031351,0.000403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,1.000001,1.136457,0.015270,0.000082,1.346163,0.030893,0.019589,0.018611,-0.014271,-0.000195,1.651406,0.001362,0.000546,-0.031621,0.000330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,1.000001,1.195051,0.011346,-0.000039,1.479651,0.029483,0.018860,0.014884,-0.013855,-0.000086,1.889315,0.000965,0.000535,-0.032309,0.000225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,1.000001,1.255313,0.008029,0.000077,1.625769,0.028209,0.017769,0.011794,-0.012603,-0.000106,2.164963,0.000693,0.000445,-0.031201,0.000104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,1.000001,1.313512,0.003484,-0.000008,1.777674,0.028145,0.016940,0.006700,-0.012196,0.000022,2.471743,0.000312,0.000296,-0.031566,-0.000086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.000000,1.000002,1.378537,0.001262,0.000078,1.955217,0.029868,0.015414,0.003560,-0.010707,0.000124,2.846272,0.000217,0.000122,-0.029359,-0.000250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,1.000002,1.476541,-0.000794,-0.000002,2.235050,0.032971,0.013786,-0.000170,-0.009235,0.000138,3.462487,0.000164,0.000111,-0.027470,-0.000419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,1.000002,1.404789,-0.003288,0.000075,2.050916,0.032396,0.008010,-0.006126,-0.011624,0.000134,3.100924,-0.000027,0.000059,-0.033082,-0.000187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.000000,1.000003,2.637818,-0.004493,0.000029,6.998944,0.014288,0.001616,-0.012930,-0.003520,0.000019,18.676246,-0.000142,0.000002,-0.018669,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.000000,1.000003,3.999481,-0.004778,0.000046,15.995903,0.000128,0.000075,-0.019109,0.000173,0.000001,63.975734,-0.000002,-0.000000,0.000638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.000000,1.000003,4.000090,-0.004777,0.000049,16.000728,0.000096,0.000061,-0.019109,0.000199,0.000001,64.004400,-0.000001,-0.000000,0.000804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.000000,1.000003,3.999983,-0.004777,0.000051,15.999869,0.000099,0.000057,-0.019109,0.000202,0.000001,63.999218,-0.000001,-0.000000,0.000802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
