0,0,0,0,180000,1800.000000,-0.080000,-0.080000,-0.080000
z,RHO,U,V,W,UU,VV,WW,UV,UW,VW,UUU,VVV,WWW,UUW,VVW,T,TT,UT,VT,WT,TTT
4.000000,1.003476,0.524895,-0.207830,-0.000684,34.751604,95.643237,0.605659,-0.030623,-0.002527,0.017014,21.154899,-2.471545,-0.376802,-7.589897,-10.208243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1.003262,0.512696,-0.173779,-0.001308,29.625160,90.690972,3.346338,-0.026416,-0.009795,0.036059,18.798395,5.943452,-4.292464,-16.291896,-22.883988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1.003111,0.522160,-0.152762,-0.001465,27.687944,88.272588,5.266362,-0.054896,-0.016114,0.043159,17.998721,4.289107,-7.537113,-21.052399,-30.606865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,1.003015,0.552553,-0.142321,-0.000957,26.642401,86.659267,6.493049,-0.041209,-0.032010,0.034974,18.809406,-0.818348,-10.136532,-23.904297,-35.895508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,1.002942,0.595225,-0.135296,-0.000264,25.650007,85.051275,7.422473,-0.007390,-0.058402,0.013850,20.143690,-0.875009,-12.246450,-25.274461,-39.029873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,1.002886,0.637967,-0.130410,0.001357,24.528047,83.262448,8.135824,0.025397,-0.093162,-0.003805,21.637534,1.322353,-13.722521,-25.271788,-39.986646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,1.002842,0.682051,-0.121222,0.003395,23.331833,81.307045,8.702444,0.006408,-0.132206,-0.011420,23.337354,4.792731,-14.733667,-24.074955,-38.390370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,1.002808,0.725150,-0.108341,0.006545,21.996615,79.166863,9.147218,-0.032783,-0.172733,-0.015171,25.155521,7.420925,-15.698406,-21.769562,-34.847356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,1.002779,0.776376,-0.096966,0.010435,20.603455,77.031966,9.520415,-0.030567,-0.211386,-0.016623,27.305310,7.648012,-16.449973,-19.001408,-29.589922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,1.002750,0.830332,-0.085442,0.015410,19.139941,74.578478,9.891916,0.006577,-0.247967,-0.023245,29.271768,4.813835,-17.443679,-15.888462,-23.239260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,1.002714,0.901445,-0.075285,0.020744,17.656530,72.307984,10.341301,0.039344,-0.287391,-0.016778,31.612537,0.346708,-18.560725,-13.186088,-16.795982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,1.002665,0.984784,-0.063431,0.026677,16.134051,69.890281,10.964939,0.067303,-0.340842,-0.006572,34.211818,-2.257328,-20.006880,-10.755810,-11.859644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.000000,1.002592,1.088960,-0.055306,0.032338,14.668422,68.109999,11.911620,0.096520,-0.401478,0.001817,37.227455,-3.966081,-20.336204,-9.304232,-7.696044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,1.002464,1.190253,-0.044519,0.038247,13.606917,65.983359,13.556327,0.142368,-0.475413,0.027455,39.066916,-1.676591,-17.750198,-10.002797,-7.480371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,1.002279,1.312422,-0.035933,0.044160,12.732008,64.797928,15.882091,0.196735,-0.535013,0.060819,41.179802,1.519504,-13.647683,-9.843595,-4.379090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.000000,1.002115,1.471264,-0.026908,0.050411,11.816839,63.196539,17.975606,0.265649,-0.590644,0.139943,43.375066,2.235443,13.937048,-7.027600,-27.433355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.000000,1.001580,1.558469,-0.031319,0.047999,11.730919,84.143492,14.025437,0.218068,-0.542740,0.171780,46.400196,16.792155,37.392281,-4.246530,-66.061289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.000000,1.001740,1.888725,0.004757,0.051257,13.397574,91.962065,11.827540,0.318042,-0.598833,0.173338,62.984343,31.090443,31.784654,-3.654805,-46.876280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.000000,1.001876,2.055979,0.044438,0.050636,13.325214,82.919315,9.839626,0.445386,-0.571545,0.130544,67.316593,33.676097,17.520341,-1.470749,-9.191273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42.000000,1.001992,2.303811,0.080400,0.049509,14.091626,80.782151,8.227078,0.564529,-0.556347,0.152064,77.041336,36.107039,7.841385,-0.644883,-12.726383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44.000000,1.002062,2.474337,0.117885,0.048313,14.758844,77.569658,7.197820,0.692336,-0.584731,0.148755,84.618075,40.994199,4.054059,0.217214,-12.045183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46.000000,1.002118,2.765706,0.158063,0.047452,15.851585,75.236099,6.341025,0.869928,-0.505428,0.148102,94.410145,46.900508,0.870118,0.411311,-12.148096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48.000000,1.002167,2.846590,0.195059,0.046297,17.386729,73.800921,5.562529,0.901409,-0.602419,0.129484,110.936577,59.847061,-1.776916,2.108182,-12.045746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.000000,1.002193,3.289039,0.295090,0.045515,14.979979,73.027068,5.063195,1.011575,-0.428460,0.130723,79.251739,91.683512,-3.615393,0.995424,-15.455760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.000000,1.002198,3.963704,0.400698,0.047608,16.104218,71.218909,4.872636,1.581557,0.117219,0.144697,66.953718,113.909531,-3.693004,0.312982,-19.028024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.000000,1.002197,4.004809,0.405467,0.051851,16.125317,69.372234,4.742308,1.621860,0.226398,0.089185,65.270660,110.956181,-3.567473,0.985616,-17.360901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.000000,1.002192,3.999415,0.404860,0.054463,16.019651,69.004785,4.677224,1.618509,0.218423,0.033449,64.263191,109.837363,-3.483098,0.869809,-16.151672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
